architecture,target_p_epsilon,realized_p_epsilon,n_replicates,final_mean_fitness_mean,final_mean_fitness_sd,final_mean_mu_mean,final_mean_mu_sd,final_mean_r_germ_mean,final_mean_r_germ_sd,final_mean_p_b_mean,final_mean_p_b_sd,final_mean_b_initial_mean,final_mean_b_initial_sd
no-memory,0.11,0.1052631579,20,0.4775767333,0.0003165285,6.996997322,0.2166410268,0,0,0.1697951902,0.0755609582,0.0348114119,0.0114286941
state-memory,0.11,0.1052631579,20,0.5073873416,0.0281636014,3.97177283,1.050924291,0.0890892088,0.0219234231,0.0824948968,0.0536298818,0.054451374,0.0298716861
mechanism-memory,0.11,0.1052631579,20,0.4773975725,0.0004694082,6.629869575,0.165737295,0,0,0.038504802,0.004692948,0.1284473572,0.0024678898
dual-memory,0.11,0.1052631579,20,0.5229004913,0.0202433861,4.19757071,0.9183752777,0.0771860725,0.0133808711,0.1002833435,0.0566538903,0.1286007036,0.0016777069
no-memory,0.53,0.5263157895,20,0.4706576663,0.0061861924,6.077677357,0.4132416988,0,0,0.2818324765,0.0732555093,0.0668117089,0.0346521144
state-memory,0.53,0.5263157895,20,0.4977119701,0.0283185895,2.650438202,0.6493361646,0.1304617714,0.038824826,0.2082864558,0.097399144,0.0270394226,0.0059421926
mechanism-memory,0.53,0.5263157895,20,0.469399919,0.006976837,5.894768437,0.3918514598,0,0,0.3451930358,0.1114119369,0.1290037138,0.0003291264
dual-memory,0.53,0.5263157895,20,0.5162762134,0.0194449063,3.71441543,0.5923758812,0.0796112009,0.0212343523,0.1455370822,0.0632664211,0.1288717566,0.0009937554
no-memory,0.89,0.8947368421,20,0.466672208,0.0086826179,5.962397883,0.4828978045,0,0,0.1350308396,0.051647355,0.0800367046,0.0332323117
state-memory,0.89,0.8947368421,20,0.5153068528,0.0282617927,2.118736002,0.035371341,0.1437048921,0.0250722895,0.3378328304,0.0774794907,0.0163501762,0.0040500096
mechanism-memory,0.89,0.8947368421,20,0.4651680804,0.0082303817,5.645898297,0.4128091416,0,0,0.3719994046,0.1012603061,0.1290507944,0.0006447045
dual-memory,0.89,0.8947368421,20,0.4896798528,0.0140532333,2.130115631,0.0246194918,0.0892859397,0.0110225537,0.3262636245,0.1342609333,0.1290362631,0.0015105317
