target_p_epsilon,metric,a,b,n,mean_a,mean_b,mean_diff_a_minus_b,ci95_low,ci95_high,paired_t_p,cohen_dz
0.11,final_mean_fitness,state-memory,no-memory,20,0.5073873416,0.4775767333,0.02981060828,0.01665821375,0.0429630028,0.0001412081683,1.060779777
0.11,final_mean_fitness,mechanism-memory,no-memory,20,0.4773975725,0.4775767333,-0.0001791608111,-0.0003103492188,-4.79724033e-05,0.01005583822,-0.6391558681
0.11,final_mean_fitness,dual-memory,state-memory,20,0.5229004913,0.5073873416,0.01551314972,0.00163753019,0.02938876924,0.03034950596,0.5232470912
0.11,final_mean_fitness,dual-memory,mechanism-memory,20,0.5229004913,0.4773975725,0.0455029188,0.03601724647,0.05498859114,4.932909701e-09,2.24507244
0.53,final_mean_fitness,state-memory,no-memory,20,0.4977119701,0.4706576663,0.02705430377,0.01411098964,0.03999761791,0.0003258225862,0.9782505304
0.53,final_mean_fitness,mechanism-memory,no-memory,20,0.469399919,0.4706576663,-0.00125774734,-0.00222397284,-0.0002915218392,0.01345750371,-0.6092199743
0.53,final_mean_fitness,dual-memory,state-memory,20,0.5162762134,0.4977119701,0.01856424333,0.006426694454,0.03070179221,0.004700928123,0.7158227259
0.53,final_mean_fitness,dual-memory,mechanism-memory,20,0.5162762134,0.469399919,0.04687629445,0.03797587762,0.05577671128,1.071454796e-09,2.464916143
0.89,final_mean_fitness,state-memory,no-memory,20,0.5153068528,0.466672208,0.04863464484,0.03513709404,0.06213219563,3.980359452e-07,1.686358864
0.89,final_mean_fitness,mechanism-memory,no-memory,20,0.4651680804,0.466672208,-0.00150412759,-0.003262714206,0.0002544590249,0.08937570972,-0.4002949728
0.89,final_mean_fitness,dual-memory,state-memory,20,0.4896798528,0.5153068528,-0.02562700005,-0.03664428576,-0.01460971435,0.0001067055425,-1.088635217
0.89,final_mean_fitness,dual-memory,mechanism-memory,20,0.4896798528,0.4651680804,0.02451177237,0.01638515455,0.03263839019,4.648900312e-06,1.411640469
