architecture,metric,pattern_a,pattern_b,n,mean_a,mean_b,mean_diff_a_minus_b,ci95_low,ci95_high,paired_t_p,cohen_dz
no-memory,final_mean_fitness,regular,clustered,20,0.4756355498,0.4743361129,0.00129943686,-0.0009473638564,0.003546237576,0.2409309802,0.2706760623
no-memory,final_mean_fitness,regular,stochastic,20,0.4756355498,0.4702013124,0.005434237425,0.001825697328,0.009042777522,0.005249430428,0.7048006492
no-memory,final_mean_fitness,clustered,stochastic,20,0.4743361129,0.4702013124,0.004134800566,-0.0003698358054,0.008639436937,0.06984069168,0.4295898876
state-memory,final_mean_fitness,regular,clustered,20,0.5239123749,0.516422207,0.007490167879,-0.004393152031,0.01937348779,0.2027631922,0.2949938654
state-memory,final_mean_fitness,regular,stochastic,20,0.5239123749,0.5085461217,0.01536625316,-0.005273713148,0.03600621946,0.1356784765,0.3484321507
state-memory,final_mean_fitness,clustered,stochastic,20,0.516422207,0.5085461217,0.007876085279,-0.008681625544,0.0244337961,0.3319564819,0.2226226449
mechanism-memory,final_mean_fitness,regular,clustered,20,0.474876125,0.4720176728,0.002858452257,0.00039632664,0.005320577873,0.02518365071,0.5433503584
mechanism-memory,final_mean_fitness,regular,stochastic,20,0.474876125,0.4668225424,0.008053582607,0.004250018802,0.01185714641,0.000286307552,0.9909634428
mechanism-memory,final_mean_fitness,clustered,stochastic,20,0.4720176728,0.4668225424,0.00519513035,0.000525046617,0.009865214084,0.03108951535,0.5206321741
dual-memory,final_mean_fitness,regular,clustered,20,0.4958997072,0.4998192027,-0.003919495537,-0.01623567573,0.00839668466,0.5133648385,-0.14894069
dual-memory,final_mean_fitness,regular,stochastic,20,0.4958997072,0.4748160898,0.02108361738,0.007179995943,0.03498723881,0.004998185867,0.7097026281
dual-memory,final_mean_fitness,clustered,stochastic,20,0.4998192027,0.4748160898,0.02500311291,0.01296302443,0.03704320139,0.0003475617733,0.9719045726
