model,target_p_epsilon,fitness_mean,fitness_sd,r_mean,r_sd,pb_mean,pb_sd,mu_mean,b_mean
epi-ga,0.110000,0.593973,0.002271,0.019664,0.004643,0.171774,0.075738,6.078945,0.040747
epi-ga,0.530000,0.563501,0.010051,0.034435,0.016917,0.120196,0.065965,5.023364,0.027055
epi-ga,0.890000,0.502129,0.025584,0.094938,0.014378,0.286957,0.108288,2.140902,0.021160
fixed-epi,0.110000,0.592677,0.000000,0.110000,0.000000,0.800000,0.000000,6.798000,0.000000
fixed-epi,0.530000,0.572716,0.000000,0.110000,0.000000,0.800000,0.000000,6.798000,0.000000
fixed-epi,0.890000,0.572707,0.000000,0.110000,0.000000,0.800000,0.000000,6.798000,0.000000
ga,0.110000,0.595908,0.002575,0.000000,0.000000,0.000000,0.000000,6.835216,0.032856
ga,0.530000,0.573168,0.005423,0.000000,0.000000,0.000000,0.000000,6.457888,0.064895
ga,0.890000,0.572446,0.002369,0.000000,0.000000,0.000000,0.000000,6.390520,0.078819
plastic-ga,0.110000,0.595617,0.002556,0.000000,0.000000,0.236123,0.028599,6.754807,0.036417
plastic-ga,0.530000,0.572900,0.005716,0.000000,0.000000,0.233917,0.083229,6.431793,0.063972
plastic-ga,0.890000,0.572266,0.002532,0.000000,0.000000,0.093383,0.054415,6.327049,0.098833
